name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York, NY, United States",2025-01-01,10.4,5.1,7.8,10.4,0.6,5.2,2.2,69.7,0.915,100,4.17,rain,0,0,60.5,28.7,273.5,1001.2,85.7,14.4,43.6,3.8,3,,2025-01-01T07:20:16,2025-01-01T16:39:37,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2025-01-02,5.8,1.3,3.8,1.3,-4.9,-0.8,-7,46,0,0,0,,0,0,60.9,33.4,267,1012.2,53.6,16,62.9,5.4,3,,2025-01-02T07:20:20,2025-01-02T16:40:29,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2025-01-03,3.5,-0.5,1.6,0.4,-5.4,-2.8,-8.6,47.3,0,0,0,,0,0,45.8,23.8,267.7,1011.5,71.3,16,99.3,8.5,6,,2025-01-03T07:20:23,2025-01-03T16:41:22,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2025-01-04,0.4,-1.7,-0.5,-4.5,-7.6,-6.2,-13.1,38.6,0,0,0,,0,0,60.8,32.7,288.3,1011,67.8,16,79.3,6.7,6,,2025-01-04T07:20:23,2025-01-04T16:42:17,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2025-01-05,0.8,-2,-1.1,-4.1,-8,-6.4,-12,43.6,0,0,0,,0,0,53.6,28.1,277,1016.2,62.8,16,87.6,7.5,4,,2025-01-05T07:20:21,2025-01-05T16:43:13,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2025-01-06,-1,-4.6,-1.8,-1,-10.4,-5.2,-8,63.4,1.565,100,16.67,"rain,snow",0.3,0.3,56.8,19.9,339.6,1010.2,75.5,13.5,17.6,1.4,1,,2025-01-06T07:20:16,2025-01-06T16:44:11,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2025-01-07,0.4,-7,-3.3,-5.7,-14.8,-10.3,-12.8,48,0,0,0,,0,0.3,63.4,32.5,302.5,1009.8,33.5,16,114.4,9.8,5,,2025-01-07T07:20:10,2025-01-07T16:45:10,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2025-01-08,-1.3,-4.9,-3.3,-8,-13.6,-10.4,-14.8,40.7,0,0,0,,0,0,61.7,37.1,295.4,1012.4,40.6,16,114.5,10,6,,2025-01-08T07:20:01,2025-01-08T16:46:10,0.31,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2025-01-09,1,-5.4,-2.6,-5.1,-13.4,-9.5,-12.5,46.5,0,0,0,,0,0,67.1,41.7,300.9,1007.8,26.2,16,112.4,9.8,5,,2025-01-09T07:19:50,2025-01-09T16:47:11,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2025-01-10,4.1,-2.5,0.6,0.8,-8.8,-3.9,-10,45.9,0,0,0,,0,0,53,25.2,300.5,1011.9,25.5,16,101.1,8.7,5,,2025-01-10T07:19:36,2025-01-10T16:48:14,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
